name,num_workers,outer,inner,N,nnz,csrmkl_sd,csrmkl_mflops,csrmkl_sum,csriemkl_sd,csriemkl_mflops,csriemkl_sum
fpga_dcop_46,5,30,25000,1220,5892,309.220617,6184.98,65267,225.968474,6465.09,65267
oscil_dcop_32,5,30,250000,430,1544,89.320340,1787.34,62000,121.667817,1844.03,62000
oscil_dcop_11,5,30,250000,430,1544,112.079215,1831.65,41357,124.885198,1821.11,41357
adder_dcop_09,5,30,5000,1813,11239,79.899740,6235.61,658,96.303301,7136.79,658
adder_dcop_38,5,30,5000,1813,11246,1128.311009,4865.02,60577,595.125107,5267.91,60577
fpga_dcop_29,5,30,25000,1220,5892,349.919941,6145.76,43482,212.814600,6556.23,43482
ASIC_680k,5,30,25,682862,2638997,33.820090,4328.81,2824,81.420056,4283.17,2824
adder_dcop_56,5,30,5000,1813,11246,414.134252,7378.88,52406,765.214056,7634.18,52406
fpga_dcop_15,5,30,25000,1220,5892,310.636844,6249.58,35986,345.483917,6129.45,35986
adder_dcop_51,5,30,5000,1813,11246,1101.116682,6615.75,63190,343.639377,8084.58,63190
adder_dcop_01,5,30,5000,1813,11156,447.988232,6634.94,27432,345.209217,7465.22,27432
adder_dcop_06,5,30,5000,1813,11224,739.210882,6804.6,1831,164.455954,6836.34,1831
oscil_dcop_49,5,30,250000,430,1544,106.333729,1757.49,6556,125.217915,1825.23,6556
adder_dcop_20,5,30,5000,1813,11246,431.222306,6987.26,717,289.675914,7619.41,717
adder_dcop_65,5,30,5000,1813,11246,692.818620,6919.18,1857,382.903699,7913.01,1857
oscil_dcop_28,5,30,250000,430,1544,119.134374,1771.39,27360,115.551620,1765.61,27360
adder_dcop_49,5,30,5000,1813,11246,243.867861,7516.7,53461,437.143971,7565.73,53461
adder_dcop_28,5,30,5000,1813,11246,211.913933,7547.83,8668,302.392250,8117.92,8668
adder_dcop_07,5,30,5000,1813,11226,939.963893,6939.55,14622,203.247206,7638.57,14622
mult_dcop_03,5,30,500,25187,193216,7.988023,1797.87,50478,159.709059,2397.08,50478
oscil_dcop_45,5,30,250000,430,1544,88.962246,1775.01,6556,158.604322,1864.62,6556
fpga_dcop_36,5,30,25000,1220,5892,109.471491,6232.51,64964,982.475918,5048.61,64964
oscil_dcop_57,5,30,250000,430,1544,107.570398,1785.29,6556,160.285490,1885.72,6556
adder_dcop_46,5,30,5000,1813,11246,492.193857,7309.75,52843,442.653025,7944.94,52843
adder_dcop_24,5,30,5000,1813,11246,345.818168,7333.07,59888,273.912733,8054.42,59888
fpga_trans_01,5,30,25000,1220,7382,911.020154,6659.22,35379,1078.735198,6116.34,35379
mult_dcop_01,5,30,500,25187,193276,292.238725,7749.94,42703,773.544142,8854.46,42703
fpga_dcop_40,5,30,25000,1220,5892,171.131806,6283.48,51315,395.058083,6509.62,51315
adder_dcop_58,5,30,5000,1813,11246,248.087423,7341.18,35552,359.815076,7922.68,35552
adder_dcop_45,5,30,5000,1813,11246,397.872433,7330.46,12087,386.860820,7861.18,12087
fpga_dcop_23,5,30,25000,1220,5892,126.711766,6142.39,44301,1123.155990,5341.88,44301
oscil_dcop_18,5,30,250000,430,1544,119.958208,1761.05,10314,79.185009,1812.47,10314
fpga_dcop_48,5,30,25000,1220,5892,235.834294,6222.81,65267,156.688465,6716.69,65267
oscil_dcop_55,5,30,250000,430,1544,116.857020,1725.07,6556,103.332382,1758.25,6556
oscil_dcop_27,5,30,250000,430,1544,83.412806,1802.93,58379,102.188867,1732.47,58379
ASIC_320k,5,30,25,321821,1931828,169.911280,5262.11,63461,234.411250,5145.11,63461
fpga_dcop_38,5,30,25000,1220,5892,98.065444,6368.7,37686,970.501464,4887.6,37686
adder_dcop_27,5,30,5000,1813,11246,284.947407,7405.99,53440,621.876848,7800.49,53440
oscil_dcop_51,5,30,250000,430,1544,53.577299,1803.09,6556,98.843432,1803.7,6556
oscil_dcop_16,5,30,250000,430,1544,114.694753,1744.19,52547,144.689284,1784.93,52547
fpga_dcop_39,5,30,25000,1220,5892,133.099807,6266.58,51315,292.664778,6590.12,51315
oscil_dcop_09,5,30,250000,430,1544,98.660398,1764.43,9789,204.243846,1793.84,9789
adder_dcop_62,5,30,5000,1813,11246,215.231077,7525.21,35134,796.286530,7777.23,35134
fpga_dcop_33,5,30,25000,1220,5892,264.076773,6163.69,21227,189.152610,6617.67,21227
oscil_dcop_02,5,30,250000,430,1544,115.363309,1757.73,7846,120.660989,1795.82,7846
