name,threads,outer,inner,N,nnz,ell_sd,ell_mflops,ell_sum,ellgs_sd,ellgs_mflops,ellgs_sum,bellgs_sd,bellgs_mflops,bellgs_sum
TSOPF_FS_b9_c1,5,30,5000,2454,25032,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b39_c30,5,30,25,60098,1079986,239.983082679,3514.05422993,32197,62.1426245982,4487.47645429,32197,187.173847645,4821.36607143,32197
TSOPF_FS_b39_c7,5,30,500,28216,730080,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b300_c1,5,30,25,29214,4400122,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b300_c1,5,30,25,14538,1474325,144.71352119,2964.46045576,35590,96.1598437995,3767.44037479,35590,191.668452909,3649.31930693,35590
TSOPF_RS_b162_c3,5,30,500,15374,610299,351.089825012,3376.1700166,32880,125.145150109,4748.17686722,32880,196.306263396,5302.33709818,32880
TSOPF_FS_b39_c30,5,30,25,120216,3121160,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b300_c2,5,30,25,28338,2943887,335.686366423,2772.02165725,1188,363.203686514,3701.45054484,1188,71.0550561313,3619.53319672,1188
TSOPF_RS_b2383,5,30,25,38120,16171169,52.6827026398,2671.74286816,54265,103.505547855,3369.92963323,54265,138.030257298,2759.58515358,54265
TSOPF_RS_b39_c7,5,30,500,14098,252446,167.185456453,3930.14011417,61975,588.257762589,4620.73215375,61975,226.259755976,5912.08430913,61975
TSOPF_RS_b678_c2,5,30,25,35696,8781949,85.3646184315,3137.15729936,37728,178.175827032,3638.92914365,37728,53.9438879707,3242.16674871,37728
TSOPF_RS_b2383_c1,5,30,25,38120,16171169,115.574332351,2638.03735726,44197,74.6832657945,3331.0565092,44197,68.3448273506,2825.81005359,44197
TSOPF_FS_b39_c19,5,30,25,76216,1977600,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b162_c4,5,30,500,20374,812749,284.505486549,3289.59390178,4762,100.943709237,4362.58185722,4762,564.457165061,4648.70734032,4762
TSOPF_RS_b300_c3,5,30,25,42138,4413449,399.253096456,2867.11715028,55839,93.0033519757,3917.26242604,55839,190.938922276,3611.6603928,55839
TSOPF_RS_b678_c1,5,30,25,18696,4396289,59.2923995151,3015.28737997,27920,339.949259056,3490.96532557,27920,173.129293316,3022.19683776,27920
TSOPF_FS_b300_c2,5,30,25,56814,8767466,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b300,5,30,25,29214,4400122,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b162_c3,5,30,25,30798,1801300,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b39_c19,5,30,500,38098,684206,98.7396874438,3869.2139491,8480,397.220633038,4668.22378895,8480,173.927174195,5585.35510204,8480
TSOPF_RS_b162_c1,5,30,500,5374,205399,74.0254314972,3471.53239437,50087,643.520585684,3761.88644689,50087,258.196213366,5293.78865979,50087
TSOPF_RS_b2052_c1,5,30,25,25626,6761100,246.978876753,2390.7708628,25684,92.508376488,3145.67307692,25684,65.4938087977,2789.23267327,25684
TSOPF_RS_b9_c6,5,30,2500,7224,54082,319.008431278,4735.7267951,4859,462.476603997,6479.47284345,4859,694.733525014,7574.50980392,4859
TSOPF_FS_b162_c4,5,30,25,40798,2398220,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b300_c3,5,30,25,84414,13135930,-1,-1,-1,-1,-1,-1,-1,-1,-1
twotone,5,30,25,120750,1206265,-1,-1,-1,-1,-1,-1,-1,-1,-1
onetone2,5,30,500,36057,222596,-1,-1,-1,-1,-1,-1,-1,-1,-1
onetone1,5,30,500,36057,335552,-1,-1,-1,-1,-1,-1,-1,-1,-1
pre2,5,30,25,659033,5834044,-1,-1,-1,-1,-1,-1,-1,-1,-1
m3plates,5,30,25000,11107,6639,667.928733657,3715.85820896,8345,234.325181865,5517.17451524,8345,261.539007869,6162.43811881,8345
k3plates,5,30,500,11107,378927,113.910201899,4112.81114327,24325,602.296853401,4636.13784666,24325,237.570506438,6232.35197368,24325
qa8fk,5,30,25,66127,1660579,539.250473284,5752.58314088,15909,281.466970977,7664.21076923,15909,720.466767294,7808.36520376,15909
qa8fm,5,30,25,66127,1660579,293.620890258,5916.55225653,6554,801.35802319,5266.10676533,6554,835.857191171,5450.47811816,6554
