name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
steam3,5,30,250000,80,217,6,0.243138629342,121.895229787,26426
pores_3,5,30,250000,532,1798,46,0.37167030166,178.590857516,None
bcsstk17,5,30,100,10974,219812,1332,7.99851122267,909.441301273,None
bcsstm03,5,30,250000,112,112,1,1.49460250576,165.32178705,53360
shl_200,5,30,1250000,663,889,3,0.956104148118,467.758896509,40429
dwt_758,5,30,5000,758,3376,204,0.408135821007,105.022777713,20992
west2021,5,30,25000,2021,6371,16,7.22367206376,1166.17113851,25733
gre_343,5,30,50000,343,1141,37,0.208561726674,127.537820653,43711
bp_200,5,30,250000,822,1994,10,4.61054456972,457.849677992,23906
dwt_209,5,30,50000,209,976,35,1.51565797353,137.15050097,51262
dwt_66,5,30,50000,66,193,22,0.273494942765,41.247744264,3858
impcol_a,5,30,250000,207,366,7,1.78225214953,134.850508579,55587
bcsstk25,5,30,500,15439,133840,880,1.13686837722e-13,733.25872093,None
rgg010,5,30,100000,10,55,10,0.257096582889,26.541626117,2561
dwt_512,5,30,25000,512,2007,39,0.833065647207,207.49723495,18661
dwt_1005,5,30,25000,1005,4813,55,3.43933139349,414.311803153,55559
dwt_918,5,30,5000,918,4151,278,0.202229641311,92.8415758592,53977
lshp3025,5,30,5000,3025,11929,206,0.380818483205,304.694812793,45140
zenios,5,30,25000,2873,3530,27,0.636192194453,376.077844311,1168
lns_511,5,30,250000,511,1885,21,1.76832336287,373.213522262,31483
nos4,5,30,50000,100,347,32,0.632010374236,55.6527170518,15401
bcspwr01,5,30,100000,39,85,12,0.419445415595,27.3049399013,32273
west1505,5,30,25000,1505,4695,13,6.34079225969,979.584230578,51129
lshp_265,5,30,50000,265,1009,66,0.295440419456,81.9209919621,32295
orsirr_2,5,30,25000,886,3428,27,4.89181500086,510.314565762,None
orsreg_1,5,30,25000,2205,8169,45,2.20223238833,793.513250487,None
lock3491,5,30,500,3491,82005,1322,1.62030971275,519.927661412,22089
can_256,5,30,50000,256,1586,73,0.22811194192,121.250762322,55385
bcsstk02,5,30,5000,66,2211,66,2.98762997038,256.235294118,None
ibm32,5,30,100000,32,77,7,0.327943749789,36.9174904176,54027
sherman4,5,30,25000,1104,2445,22,0.604452015608,338.680820611,3226
orani678,5,30,2500,2529,54911,96,3.95706866735,1531.29876308,50695
lap_25,5,30,100000,25,97,13,0.464962813764,39.6062807593,43546
can_1054,5,30,25000,1054,6625,87,2.33595155965,390.596976685,55834
bcsstm13,5,30,5000,2003,11973,161,0.83393346287,428.351119209,4478
west0156,5,30,250000,156,325,5,2.2692449369,186.32134775,19050
jagmesh5,5,30,25000,1180,4465,116,0.294882100086,203.526033825,49082
dwt_503,5,30,5000,503,3265,58,2.20538708881,288.189352885,37077
nnc666,5,30,25000,666,2284,7,19.4258840713,912.535079514,58531
bcsstk33,5,30,100,8738,300321,1058,13.2149934087,1234.84840056,None
blckhole,5,30,25000,2132,8502,151,0.36430775789,278.996473148,52793
lund_b,5,30,50000,147,1294,55,1.46398964644,139.17290661,None
bcsstm04,5,30,250000,132,132,1,2.04643842966,183.980672737,27780
bcsstm22,5,30,250000,138,138,1,2.13114655822,186.285097192,40074
gre_216a,5,30,50000,216,696,31,0.730572006721,93.0526982117,38283
lock_700,5,30,1000,700,11442,254,3.3731042601,313.480923222,2870
str_0,5,30,250000,363,1107,10,3.22023598362,404.584268353,59183
