kron_g500-logn17,5,30,25,131072,10228360,243.79452933,2959.59490741,12723,191.543372395,2710.2172761,12723
il2010,5,30,25,451554,2164464,93.9875292769,2860.52511013,21327,103.367616054,2801.2907679,21327
delaunay_n18,5,30,25,262144,1572792,168.064598371,2884.09290954,31624,306.071574476,3153.99465241,31624
t60k,5,30,500,60005,178880,263.132537276,4310.36144578,61263,270.549381536,4296.5572458,61263
G_n_pin_pout,5,30,25,100000,1002396,165.056381229,3093.81481481,20915,294.146537554,2794.78438662,20915
netherlands_osm,5,30,25,2216688,4882476,53.0514932847,1895.37111801,60994,39.6432233875,1860.69969512,60994
germany_osm,5,30,25,11548845,24738362,40.1183598706,1326.59598885,57551,63.2144319311,1251.73024119,57551
or2010,5,30,500,196621,979512,221.887473101,3910.22754491,32215,215.172129322,3961.89294863,32215
hugetrace-00020,5,30,25,16002413,47997626,34.196981855,992.014426257,63698,23.8373028545,899.292259459,63698
NACA0015,5,30,25,1039183,6229636,62.7062140748,2041.61109897,16795,213.456415637,1800.47283237,16795
wa2010,5,30,500,195574,947432,179.008391146,3880.26757679,53551,132.4526671,3857.09865653,53551
delaunay_n22,5,30,25,4194304,25165738,11.1394590621,2527.18798956,13072,35.9600496441,2334.48404453,13072
tx2010,5,30,25,914231,4456272,90.5651026564,2897.44603381,43354,144.471578983,2788.65581977,43354
md2010,5,30,500,145247,700378,285.467752227,4058.59378018,1335,25.1938097819,4310.01846154,1335
ga2010,5,30,25,291086,1418056,114.628524613,3469.95758564,20731,156.070509031,3475.62745098,20731
ut2010,5,30,500,115406,572066,86.0114259521,4448.41368585,46039,152.070756436,4426.61336085,46039
ri2010,5,30,500,25181,125750,267.357556845,4321.30584192,14460,65.5074334609,4371.37891078,14460
fl2010,5,30,25,484481,2346294,117.081146492,3298.44517338,42084,120.742096272,3276.94692737,42084
hugetric-00020,5,30,25,7122792,21361554,37.0611362839,963.998044466,9273,49.7803865813,846.091494811,9273
rgg_n_2_21_s0,5,30,25,2097152,28975990,145.283104537,3796.64439203,1400,233.386304743,3838.8963964,1400
ar2010,5,30,500,186211,904310,52.8661454285,4095.60688406,46173,58.9173208331,4232.3400936,46173
nd2010,5,30,500,133769,625946,117.826613124,4378.26532991,46755,454.883545532,4151.75326111,46755
sd2010,5,30,500,88360,410722,160.675130395,4408.46511628,19543,503.865107899,4157.10526316,19543
la2010,5,30,500,204447,980634,232.770510516,3955.76442114,39099,274.327738621,3996.60643934,39099
rgg_n_2_16_s0,5,30,500,65536,684254,216.512749276,4378.75853242,4769,112.409619466,4359.23125929,4769
fe_4elt2,5,30,2500,11143,65636,502.377911787,4033.34698894,32282,351.216564456,4528.70285189,32282
ca2010,5,30,25,710145,3489366,178.479171371,2438.97903075,16473,68.7829458965,2564.45320921,16473
vsp_c-60_data_cti_cs4,5,30,500,85830,482160,323.975788512,4080.33850494,44916,68.6199494932,4222.06654991,44916
NLR,5,30,25,4163763,24975952,36.0195058924,948.357837181,9335,47.0454576131,826.543882099,9335
delaunay_n21,5,30,25,2097152,12582816,40.3470620045,2536.51713479,38117,37.3676216896,2340.55357143,38117
hugetric-00000,5,30,25,5824554,17467046,42.0250623747,1237.10132679,22463,32.4948890094,1154.66788595,22463
va2010,5,30,25,285762,1402128,215.004925878,3359.73162939,55779,191.325863019,3392.24516129,55779
de2010,5,30,500,24115,116056,398.634676346,4210.0120919,48414,475.961634702,4179.68787515,48414
vsp_sctap1-2b_and_seymourl,5,30,500,40174,281662,422.071382428,3742.18777679,43311,183.252627887,4012.27920228,43311
vt2010,5,30,500,32580,155598,106.70876936,4420.39772727,58175,61.1999141694,4391.28880527,58175
