name,num_workers,outer,inner,N,nnz,nlevels,sd,mflops,sum
kkt_power,5,30,125,2063494,7625163,14,2.22054030395,2609.53139842,None
mesh1em6,5,30,50000,48,177,17,0.54467413078,55.2413046095,3693
bodyy4,5,30,2500,17546,69548,697,0.189890050733,341.215331063,None
mesh1em1,5,30,50000,48,177,17,0.588445077889,54.8846107856,47368
sphere2,5,30,50000,66,258,23,0.46203438542,42.7973624144,33050
onera_dual,5,30,2500,85567,252384,173,1.85079838139,1971.65903675,47879
sphere3,5,30,50000,258,1026,51,0.388507631118,96.458527493,18746
mesh3e1,5,30,50000,289,833,71,0.0136004026473,43.3255023703,16672
tandem_vtx,5,30,100,18454,135902,2596,0.684432388391,201.284427966,38560
mesh1e1,5,30,50000,48,177,17,0.703281110501,54.8125149272,33506
commanche_dual,5,30,25000,7920,19800,10,5.92257962588,2178.8170564,16106
bodyy6,5,30,2500,19366,76787,552,0.335228895842,468.646987615,None
mesh2em5,5,30,50000,306,1162,127,0.00769025848515,35.8263010261,7011
mesh3em5,5,30,50000,289,833,71,0.0167979143522,43.5098584429,47567
mesh2e1,5,30,50000,306,1162,127,0.0119836653036,36.2280680757,55410
bodyy5,5,30,2500,18589,73721,676,0.217656219193,378.356236786,None
tandem_dual,5,30,2500,94069,277281,350,1.380524155,1528.99659111,17531
transient,5,30,2500,178866,570032,15,6.535037043,4469.30254185,58538
circuit5M_dc,5,30,25,3523317,9194363,275,5.34423223406,2170.34392642,55645
Freescale2,5,30,25,2999349,8663899,319,9.259327286,2332.10432943,None
memchip,5,30,25,2707524,8021504,300,13.7700494912,2620.28111082,20873
fpga_dcop_07,5,30,125000,1220,3832,6,17.2917335062,1455.19691678,9911
adder_dcop_26,5,30,25000,1813,5577,14,3.28493095952,809.164934165,31584
adder_dcop_03,5,30,25000,1813,5524,14,3.00773354185,816.774764151,46110
fpga_dcop_26,5,30,125000,1220,3858,6,9.51526378295,1496.40641317,719
fpga_dcop_28,5,30,125000,1220,3858,6,8.75389502371,1513.7016094,727
fpga_dcop_32,5,30,125000,1220,3858,6,12.518298264,1520.59925094,708
fpga_dcop_05,5,30,125000,1220,3830,6,13.0790249998,1425.28328612,19665
fpga_dcop_16,5,30,125000,1220,3858,6,8.13723663472,1502.03477617,43085
adder_dcop_08,5,30,25000,1813,5574,14,5.05531503493,867.995288867,52929
fpga_dcop_10,5,30,125000,1220,3854,6,12.7815870455,1486.80029333,17660
oscil_dcop_46,5,30,250000,430,1027,10,2.10471460742,309.892122939,24589
adder_dcop_05,5,30,25000,1813,5521,14,5.07010644253,845.456211066,47217
adder_dcop_50,5,30,25000,1813,5577,14,3.56539735006,837.507471608,21645
fpga_dcop_20,5,30,125000,1220,3858,6,8.81029226384,1490.91131648,7972
oscil_dcop_12,5,30,250000,430,1027,10,3.01643164706,312.299684623,18885
oscil_dcop_23,5,30,250000,430,1027,10,1.83179852896,316.981132075,16433
oscil_dcop_05,5,30,250000,430,1027,10,2.71908021091,309.647896276,63200
adder_dcop_22,5,30,25000,1813,5577,14,3.36345756057,838.509874327,34756
adder_dcop_29,5,30,25000,1813,5577,14,4.02351503622,835.011918951,26464
