name,workers,outer,inner,N,nnz,csrnnz_sd,csrnnz_mflops,csrnnz_sum,csrnnzgs_sd,csrnnzgs_mflops,csrnnzgs_sum,csrnnzsorted_sd,csrnnzsorted_mflops,csrnnzsorted_sum,csrnnzgssorted_sd,csrnnzgssorted_mflops,csrnnzgssorted_sum,csrnnzshort_sd,csrnnzshort_mflops,csrnnzshort_sum,csrnnzgsshort_sd,csrnnzgsshort_mflops,csrnnzgsshort_sum,csrnnzunroll2_sd,csrnnzunroll2_mflops,csrnnzunroll2_sum,csrnnzunroll3_sd,csrnnzunroll3_mflops,csrnnzunroll3_sum,csrnnzunroll4_sd,csrnnzunroll4_mflops,csrnnzunroll4_sum
lop163,5,30,250000,163,935,117.855174244,2529.30568079,37861,121.211639502,2186.28215121,37861,279.894011814,3134.7787215,37861,322.657967579,3289.93666432,37861,351.799583234,3299.22371207,37861,349.20262023,3314.81919168,37861,452.143862988,3798.75406284,37861,357.847091883,5148.6784141,37861,361.811708108,4174.10714286,37861
odepa400,5,30,250000,400,1201,213.979876143,4438.28529194,29842,125.706710279,2568.0684248,29842,374.755343057,4891.39288623,29842,154.05867297,2564.04782237,29842,216.399179904,6947.55109911,29842,205.607502981,5392.0981742,29842,551.357558195,6570.02188184,29842,128.3380731,5235.39668701,29842,465.447197695,6560.45156591,29842
cdde1,5,30,25000,961,4681,544.94064406,6224.73404255,46062,97.838166603,4115.76787808,46062,238.000167772,6191.7989418,46062,89.0083062774,4217.11711712,46062,992.504736667,5307.25623583,46062,119.252999081,4224.72924188,46062,183.770140226,6180.89788732,46062,240.6351806,6751.44230769,46062,169.806249103,6186.34361233,46062
qh768,5,30,25000,768,2934,406.886648685,3658.35411471,26600,95.5395057489,2792.51269036,38400,146.271818479,4383.46613546,26600,24.477470838,2695.03980404,38400,218.244663621,4727.17508056,26600,43.7769989958,3833.62369338,38400,434.388032305,4144.06779661,26600,112.063897454,6037.03703704,26600,258.050310318,4752.69978402,26600
dw1024,5,30,5000,2048,10114,210.122507259,6204.90797546,46240,298.496714497,4173.59009629,61238,539.266990309,7276.25899281,46240,139.436424651,4267.51054852,61238,426.938832457,7346.73123487,46240,263.380757728,4190.8839779,61238,320.036200715,6639.38730853,46240,962.877368088,4957.84313725,46240,1242.75496734,5437.6344086,46240
ck656,5,30,25000,656,3884,662.252245417,6278.01724138,5103,60.0381249046,3910.06711409,54075,181.955238704,6451.82724252,5103,30.1493454904,3433.11726576,54075,1133.36883923,5849.39759036,5103,254.48783331,4364.04494382,54075,190.535607283,6782.30500582,5103,200.007148501,6862.19081272,5103,575.780086481,6612.93984109,5103
rdb1250l,5,30,25000,1250,7300,579.827011612,7124.26805465,6066,513.58371017,4269.00584795,6066,333.284966269,7133.5504886,6066,226.178459523,4641.79737177,6066,308.001872426,7073.64341085,6066,530.696733112,4408.21256039,6066,217.263168605,7055.41237113,6066,242.142430383,7314.62925852,6066,237.497616552,7203.94736842,6066
rw136,5,30,250000,136,479,74.7614322097,2913.62530414,47639,44.4015292351,2081.40208575,47639,205.667752461,1342.99065421,47639,18.2328857502,2168.07483404,47639,320.849699025,1716.43573817,47639,64.986086592,2146.05734767,47639,181.127570333,1813.47804139,47639,29.9782649823,3220.5289108,47639,173.272807629,2085.63134978,47639
rbsa480,5,30,5000,480,17088,643.058106053,3736.44314869,28528,720.55615294,4264.89184692,8086,514.958328262,6908.89487871,28528,439.402460491,9073.27433628,8086,813.159117398,5263.24435318,28528,834.600917325,9089.36170213,8086,423.684918842,8403.93442623,28528,1282.98015917,10273.3466934,28528,436.680703502,9727.5142315,28528
rdb5000,5,30,5000,5000,29600,299.33401459,7858.40707965,56695,237.233813119,4802.59599784,56695,1035.91768654,6519.82378855,56695,271.174721121,4820.84690554,56695,561.053007168,7596.23609923,56695,149.460857591,4938.82091212,56695,252.015872072,7357.08367854,56695,965.927485584,6568.04733728,56695,135.393894214,7609.25449871,56695
pde2961,5,30,5000,2961,14585,277.952514898,7518.04123711,13189,86.471392231,4433.13069909,13189,308.662108565,7316.88963211,13189,83.8466150852,4424.16582406,13189,231.343448867,7304.67445743,13189,491.076449301,4191.09195402,13189,1233.44153203,5153.71024735,13189,223.901663983,7080.09708738,13189,188.901314354,6989.61661342,13189
dw8192,5,30,5000,8192,41746,344.990285933,6366.95475343,29298,362.226036422,4162.11365902,14795,285.930895017,7773.9292365,29298,8.572009018,4487.2088857,14795,177.952650463,7793.27940261,29298,608.79151071,3984.66433344,14795,484.633189061,6873.65532382,29298,329.084234779,7172.85223368,29298,559.753889008,6836.13537118,29298
mhd4800a,5,30,500,4800,102252,349.64130977,8268.35579515,38667,244.390663434,8404.2739726,28111,1442.37133335,7286.36579572,38667,547.212628763,7167.19626168,28111,835.899217055,8009.29503916,38667,1128.73220778,6596.90322581,28111,801.066830633,8840.23054755,38667,509.375519208,9769.29936306,38667,461.138140611,9676.84542587,38667
